                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.66736,                0.44085,                0.88323,                0.94667,                0.92734,                0.96391,                0.85061,                0.63581,                0.55006,                0.85949,               0.002377,               0.002377,               0.002377
                     79,                 0.6678,                0.43929,                0.88237,                0.94637,                0.92733,                0.96269,                0.84988,                 0.6355,                 0.5476,                0.85821,               0.002278,               0.002278,               0.002278
                     80,                0.66168,                0.43491,                0.88113,                0.94642,                0.92979,                0.96341,                0.85161,                0.62976,                0.53661,                0.85624,               0.002179,               0.002179,               0.002179
                     81,                0.66196,                0.43645,                0.88075,                0.94658,                0.92825,                0.96353,                0.85093,                0.63291,                0.54866,                  0.857,                0.00208,                0.00208,                0.00208
                     82,                0.66116,                0.43469,                0.88114,                 0.9435,                0.92657,                0.96182,                0.85044,                0.63009,                0.55716,                0.85657,               0.001981,               0.001981,               0.001981
                     83,                0.65487,                0.43356,                0.87893,                0.94721,                0.92651,                0.96311,                0.85112,                0.63126,                0.54553,                0.85709,               0.001882,               0.001882,               0.001882
                     84,                0.65706,                0.43238,                 0.8813,                0.94736,                0.92765,                 0.9633,                0.85244,                0.62985,                0.55306,                  0.857,               0.001783,               0.001783,               0.001783
                     85,                0.65334,                0.42848,                 0.8791,                0.94262,                0.92875,                0.96213,                0.85163,                0.63098,                0.54845,                0.85741,               0.001684,               0.001684,               0.001684
                     86,                0.65487,                0.43142,                0.88014,                0.94577,                0.92926,                0.96412,                0.85375,                0.62721,                0.53278,                0.85713,               0.001585,               0.001585,               0.001585
                     87,                0.64885,                0.42774,                 0.8792,                0.94673,                0.92934,                0.96356,                0.85306,                 0.6269,                0.53566,                0.85645,               0.001486,               0.001486,               0.001486
                     88,                0.64381,                0.42399,                0.87605,                0.94702,                0.92787,                0.96326,                0.85316,                0.62759,                0.53905,                0.85617,               0.001387,               0.001387,               0.001387
                     89,                 0.6458,                0.42093,                0.87626,                 0.9465,                0.93054,                0.96376,                0.85452,                0.62585,                 0.5329,                0.85597,               0.001288,               0.001288,               0.001288
                     90,                 0.5433,                0.34327,                0.84288,                0.94618,                0.93503,                0.96545,                0.85603,                0.61905,                0.50079,                0.85453,               0.001189,               0.001189,               0.001189
                     91,                0.52951,                0.33314,                0.83806,                0.94996,                0.93744,                0.96682,                0.85826,                 0.6154,                0.48345,                0.85294,                0.00109,                0.00109,                0.00109
                     92,                 0.5285,                0.33128,                0.83689,                0.95432,                0.93955,                0.96915,                0.86158,                0.60552,                0.46665,                0.84972,               0.000991,               0.000991,               0.000991
                     93,                0.52277,                 0.3286,                0.83652,                0.95508,                0.94013,                0.97028,                0.86357,                0.60049,                 0.4536,                0.84811,               0.000892,               0.000892,               0.000892
                     94,                0.51951,                0.32562,                  0.837,                0.95452,                0.94121,                0.97048,                0.86403,                0.60022,                0.45142,                0.84807,               0.000793,               0.000793,               0.000793
                     95,                0.51498,                0.32269,                0.83543,                0.95466,                0.94334,                0.97098,                0.86542,                0.59431,                0.44884,                0.84659,               0.000694,               0.000694,               0.000694
                     96,                0.51354,                0.32189,                0.83481,                0.95555,                0.94292,                0.97045,                0.86491,                0.59398,                0.45096,                0.84668,               0.000595,               0.000595,               0.000595
                     97,                0.51112,                0.31966,                0.83344,                0.95615,                0.94335,                0.97049,                0.86549,                 0.5933,                0.45185,                0.84659,               0.000496,               0.000496,               0.000496
                     98,                0.50768,                0.31747,                0.83434,                0.95658,                0.94326,                0.97099,                0.86597,                0.59037,                0.44933,                0.84553,               0.000397,               0.000397,               0.000397
                     99,                0.50437,                0.31426,                0.83156,                0.95687,                0.94364,                0.97087,                0.86463,                0.59231,                 0.4498,                0.84553,               0.000298,               0.000298,               0.000298
